year,month,ave
2010,1,90.40366972477064
2010,2,97.23994038748137
2010,3,94.04654442877292
2010,4,80.0724233983287
2010,5,87.0719131614654
2010,6,109.03893805309734
2010,7,123.4260752688172
2010,8,97.68343195266272
2010,9,122.79273504273505
2010,10,118.78436657681941
2010,11,138.38403614457832
2010,12,97.1157469717362
2011,1,44.87369985141159
2011,2,150.29017857142858
2011,3,57.99198717948718
2011,4,91.72067039106145
2011,5,65.10814606741573
2011,6,108.79465541490858
2011,7,107.38648648648649
2011,8,103.7338003502627
2011,9,94.96940194714882
2011,10,145.5568181818182
2011,11,109.43496503496503
2011,12,108.72139973082099
2012,1,118.92238805970149
2012,2,84.44202898550725
2012,3,96.47432432432433
2012,4,87.83588317107093
2012,5,90.96671490593343
2012,6,96.63418079096046
2012,7,80.64970930232558
2012,8,81.1653290529695
2012,9,59.95224719101124
2012,10,94.95135135135135
2012,11,87.43696275071633
2012,12,109.18729641693811
2013,1,183.19533783783783
2013,2,113.56647321428571
2013,3,114.57275537634408
2013,4,63.047805555555556
2013,5,89.14853494623655
2013,6,111.35484722222225
2013,7,74.93284366576819
2013,8,67.92362903225806
2013,9,85.71787499999998
2013,10,102.20880376344086
2013,11,85.14629166666667
2013,12,90.3177688172043
2014,1,107.91174731182795
2014,2,160.5138988095238
2014,3,103.18325268817203
2014,4,92.16069444444442
2014,5,64.95850806451614
2014,6,59.15463888888888
2014,7,91.79994623655915
2014,8,65.66822341857336
2014,9,68.23266666666665
2014,10,135.26973118279568
2014,11,106.33752777777777
2014,12,76.62251344086023
2015,1,110.02276881720428
2015,2,103.4455505952381
2015,3,94.48344086021504
2015,4,79.39705555555553
2015,5,61.16751344086024
2015,6,60.3323888888889
2015,7,60.22952956989249
2015,8,45.89607526881719
2015,9,50.92475000000001
2015,10,77.2577419354839
2015,11,125.80318055555553
2015,12,162.17891129032256
